cat_name;cat;subcat
Ordinateur;00;**
Ordinateur de bureau/Tours;00;01
Serveur;00;05
Ordinateur portable;00;11
Tablette PC portable;00;12
Tablette PC portable de poche;00;14
Accessoire Tablette PC;00;16
Ordinateur de poche;00;21
Boîtiers d`ordinateurs;00;33
Alim. électrique pour PC;00;34
Terminal d`ordinateur;00;35
Station de travail;00;37
Accessoires Serveur;00;39
Accessoires PC DE BUREAU;00;40
Accessoires PC PORTABLE;00;41
Accessoires STATION DE TRAVAIL;00;42
Boîtiers & Options;00;43
Barebone notebook;00;44
Accessoires PC de poche;00;45
Garantie Ordinateur;00;66
Onduleurs/équip. électriques;01;**
Onduleurs;01;01
CONDITIONNEUR DE LIGNE;01;11
PARASURTENSEUR;01;21
COMPOSANTS ET OPTIONS ÉLECTRIQUES;01;31
BATTERIE POUR ONDULEURS;01;41
CHARGEUR DE BATTERIE;01;51
ACCESSOIRE ÉLECTRIQUES;01;61
Garantie pour onduleurs;01;66
STOCKAGE HAUT DE GAMME;02;**
Contrôleur RAID;02;02
TOUR DVD;02;03
LECTEUR DE DAT;02;04
LECTEUR MAGNÉTIQUE;02;05
LECTEUR DE DLT;02;06
LECTEURS MULTI PLATEAUX;02;07
BAIES DE STOCKAGE;02;08
ROBOT CHARGEUR;02;09
SYSTÈME RAID;02;10
LECTEUR OPTIQUE;02;12
TOUR POUR LECTEUR OPTIQUE;02;13
CHANGEUR OPTIQUE;02;14
ACCESSOIRES STOCKAGE HAUT DE GAMME;02;15
LECTEUR AMOVIBLES;02;51
Garantie stockage;02;66
BERCEAUX POUR DISQUES;02;81
SLR Tape Drives;02;83
LTO Tape Drives;02;85
AIT Tape Drives;02;87
SDLT Tape Drives;02;89
Ecran;03;**
MONITEURS LCD/TFT;03;01
"Moniteur CRT 15""";03;02
"Moniteur CRT 17""";03;04
"Moniteur CRT 19""";03;05
MONITEURS AUTRES DIMENSIONS;03;06
Moniteurs PLASMA;03;07
Projecteurs;03;08
Accessoires moniteurs;03;09
Rétroprojecteurs;03;10
"Moniteur CRT 20""";03;12
Cadre photo numérique;03;13
"Moniteur CRT 21""";03;14
"Moniteur CRT 22""";03;16
Ecran CRT;03;18
